No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
1,0111AL,Initial,,,MONTAZAH-PARC_0111AL,NEWAWAYED02,C3_0111AL_PH02,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
2,3237AL,Initial,,,BSHYER-KHER-2,MANSHIA02,C1_3237AL_PH24,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
3,2754AL,Initial,,,M-ANFOSHI-1,MANSHIA01,C2_2754AL_PH16,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
4,0883AL,Initial,,,ENG-CLG,SEMOUHA02,C5_0883AL_PH17,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
5,2765AL,Initial,,,M-SIDI-GABER2,SEMOHA_01 (NSN),C3_2765AL_PH17,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
6,0584AL,Initial,,,S_ALLAFEEN-STR_0584AL,NEWAWAYED02,C1_0584AL_PH12,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
7,0749AL,Initial,,,AWAYED-2,NEWAWAYED02,C6_0749AL_PH14,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
8,0192AL,Initial,,,GAMILA-BOHERED (replacement),NEWAWAYED01,C4_0192AL_PH03,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
9,0886AL,Initial,,,NASR-2,MIAMI01,C2_0886AL_PH17,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
10,0621AL,Initial,,,IZBET-MUHSEN2,NEWAWAYED01,C6_0621AL_PH12,Alex,Alex,SEMOUHA,Shelter Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
11,2645AL,Initial,,,M-AWAYED-3,NEWAWAYED01,C1_2645AL_PH15,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
12,0322AL,Initial,,,S_NOUR_0322AL,SEMOUHA02,C2_0322AL_PH06,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
13,0373AL,Initial,8046AL,SHODS BSC,N_SHODS_0373AL,SEMOUHA02,C1_0373AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
14,3042AL,Initial,,,SMOUHA-ENT,NEWAWAYED02,C5_3042AL_PH19,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
15,3126AL,Initial,,,CAMP-SHEZAR-3,SMOUHA01,C1_3126AL_PH22,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
16,2728AL,Initial,,,M-KFRABDO-EXIT,SMOUHA01,C1_2728AL_PH15,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
17,0784AL,Initial,,,ABUQIR-ENT,newawayed01,C5_0784AL_PH15,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
18,0142AL,Initial,,,ABUQIR-NTH( Replacement ),MAMOURA01,C4_0142AL_PH03,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
19,0750AL,Initial,,,ALL-IN-ONE,SMOUHA01,C4_0750AL_PH14,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
20,3164AL,Initial,,,DERESA, SEMOUHA02,C2_3164AL_PH23,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
21,0424AL,Initial,,,MAMOURA-ENT_0424AL,NEWAWAYED02,C2_0424AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
22,0392AL,Initial,,,KABO-ALEX,SMOUHA01,C7_0392AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
23,1222AL,Initial,,,I-AUDI-SULTAN,NA,C1_1222AL_PH23,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
24,2859AL,Initial,,,M-AUDI-MIMI,MAMOURA01,C1_2859AL_PH17,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
25,0202AL,Initial,,,ZAITOUN,NA,C5_0202AL_PH03,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
26,3132AL,Initial,,,AL-MNSHIYA-BAHRY2,MAMOURA01,C1_3132AL_PH22,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
27,0217AL,Initial,,,MONTAZA-WST_0217AL,NEWAWAYED02,C4_0217AL_PH03,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
28,0592AL,Initial,,,ESHREEN-ST,MAMOURA01,C7_0592AL_PH12,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
29,0728AL,Initial,,,SYOF-SHAMAA-3 ,NEWAWAYED01,C5_0728AL_PH14,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
30,2735AL,Initial,,,M-ZAKI-2,SEMOUHA02,C3_2735AL_PH16,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
31,0611AL,Initial,,,S_ALEX-MODRYAH_0611AL,SMOUHA01,C1_0611AL_PH12,Alex,Alex,SEMOUHA,Shelter Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
32,0627AL,Initial,,,AWAYED-BRDG,NEWAWAYED02,C5_0627AL_PH13,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
33,0414AL,Initial,,,ALX-SUEZ-RD,SEMOUHA02,C10_0414AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
34,0386AL,Initial,,,DOWN-TWN-ALEX,ASBSCALS02,C5_0386AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
35,1137AL,Initial,,,I-KRFABD-CHRCH,SMOUHA01,C1_1137AL_PH18,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
36,0030AL,Initial,2995AL,M-MONTAZAH-AL,S_MONTAZH-AL_0030AL,MAMOURA01,C3_0030AL_PH01,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,
37,0156AL,Initial,,,BESHR-NASR(Replacement),MIAMI01,C4_0156AL_PH03,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
38,0441AL,Initial,,,U_ZAHREYA2_0441AL,NEWAWAYED01,C1_0441AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
39,0359AL,Initial,,,N_ESAWY_0359AL,MIAMI01,C1_0359AL_PH08,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
40,0008AL,Initial,,,N_GILEEM1_0008AL,SEMOUHA02,C1_0008AL_PH00,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,
41,1147AL,Initial,,,I-ELMADINACOM,SMOUHA01,C1_1147AL_PH18,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
42,0223AL,Initial,,,SHARKAWY,MANSHIA02,C5_0223AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
43,0390AL,Initial,,,AGYAD-SMOUHA,SMOUHA01,C4_0390AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
44,0265AL,Initial,8052AL,ROMANIN THEATR BSC,N_ROMANIAN-THEATR_0265AL,MANSHIA01,C7_0265AL_PH03,Alex,Alex,SEMOUHA,Shelter Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
45,0505AL,Initial,,,S_DEEP-MALL_0505AL,SEMOHA_02 (NSN),C1_0505AL_PH9,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
46,0308AL,Initial,,,MONTAZAH-ENT (Replacement),NEWAWAYED01,C3_0308AL_PH04,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
47,2623AL,Initial,,,M-FOAD-2,NA,C4_2623AL_PH14,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
48,0127AL,Initial,,,S_15-MAYO-SQR_0127AL,SMOUHA01,C2_0127AL_PH02,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,
49,1200AL,Initial,,,I-ZAYAN-MALL,NA,C1_1200AL_PH21,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
50,2068AL,Initial,,,S_M-DORAT-MIAMI_2068AL_G000,MIAMI01,C1_2068AL_PH04,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
51,0098AL,Initial,,,S_SHATTBIE_0098AL,SEMOUHA02,C1_0098AL_PH02,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
52,2838AL,Initial,,,M-RASAFA-4,SEMOUHA02,C1_2838AL_PH17,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
53,2829AL,Initial,,,M-SHAMAA-1,AWAYED03,C1_2829AL_PH17,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
54,0100AL,Initial,,,N_SIDIGABER-EST_0100AL,SMOUHA01,C12_0100AL_PH02,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
55,0315AL,Initial,,,S_VICTORIA-ALEX_0315AL_,MIAMI01,C8_0315AL_PH05,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
56,0410AL,Initial,,,IBRAHEMIA1,SEMOUHA02,C11_0410AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
57,0212AL,Initial,,,S_MOBILOR_0212AL,SMOUHA01,C9_0212AL_PH03,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
58,2820AL,Initial,,,M-HADRA-KBLY6,NA,C1_2820AL_PH17,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
59,1233AL,Initial,,,I-METRO-SMHA,NA,C2_1233AL_PH25,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
60,0734AL,Initial,,,GHOBRIAL-3 ,NEWAWAYED01,C4_0734AL_PH14,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
