Basic Data,,,,,,,,,Sharing data,,,Structure,,,,DC Data,,,,,,,,,,,,,,,,Classification,,,,,TE config,,Access Information,,,,,,,HW Configuration,,User Additional Information
Short Code,Site Name,SC Office ,OZ,Nodal Deg.,Cascade Type,Announcement Date,Power Source,PM Available,Host,Host Code,Category,Tower Type,Site Type,Grill Date,Severity,# Rectifiers,Rectifier Brand,PLD Active,PLD Value,Battery Type/Volt/AH,installation date,Stock,# Strings,# Batteries ,End Volt,End Amp,Backup time,Test Date,Batteries Status,Theft case date,NetEco Status,Status,VIP,CEO/CTO,Router,NR,Secured PS,CB Rate,Site Adress,Coordinates,Security type (guard or not),Permission (Yes/No),Permission Owner,Permit duration ,Special key (Yes/No),SM+RFM,Tx Type,Comment
0001AL,ABUQIR,GLEEM,Alex,32,Router,2011-06-20 00:00:00,EC,,,NA,Macro,GF,Shelter,,Golden,3,"Huawei
Huawei
Huawei",NO,,"Power Safe 155A
Huawei-Lithium
Huawei-Lithium",2018-07-04 00:00:00,,"4
4
4","16
4
4","46.9
49.4
49.5","88.1
25.7
14.1 ",180,2024-05-21 00:00:00,Good Batteries,,Not supervised,On Air,,,True,,,,ABO-QIR-EXCH / ALEX,"31.2998071220109,30.0572088440717",No,Yes,Telecom Egypt,0,No,,"iPASOLINK EX/A, iPASOLINK VR 4, iPASOLINK VR 4, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A",
0004AL,CAMPSHEZAR,GLEEM,Alex,1,End Point,2001-02-23 00:00:00,EC,Rechargeable,,NA,Macro,RT,Grill,2022-01-23 00:00:00,Bronze,1,Huawei,NO,,ZTE-Lithium,2023-11-26 00:00:00,,3,3,44.3,104.4,180,2024-03-10 00:00:00,Good Batteries,,Not supervised,On Air,,,,,,,54-Tiba St. -CAMPSHEZAR- ALEX,"31.2146054481499,29.9244779093663",Yes,No,Soc team,NA,No,,iPASOLINK 200,
0008AL,GILEEM1,GLEEM,Alex,8,Nodal,2001-02-22 00:00:00,EC,,,NA,Macro,GF,Shelter,,Golden,1,Delta 2,Yes,,Marathon,2018-07-02 00:00:00,,6,24,45.3,115,146,2024-07-22 00:00:00,Good Batteries,,Not supervised,On Air,,,,,,,GLEEM EXCHANGE-GLEEM-ALEX,"31.2380363101376,29.9637325231091",No,Yes,Telecom Egypt,0,No,,"iPASOLINK EX/A, iPASOLINK VR 10, iPASOLINK EX/A",
0009AL,KFR-ABDO,GLEEM,Alex,4,Nodal,2015-12-02 00:00:00,EC,,,NA,Macro,RT,Outdoor,,Silver,1,Huawei,Yes,,SBS,,,3,12,45.4,75.3,59,2024-05-09 00:00:00,Weak Batteries,,Not supervised,On Air,,,,,,,Kfr Abdo - Alex,"31.2260018871693,29.9547265484698",No,No,NA,NA,No,,iPASOLINK VR 10,
0010AL,MAMOURA,GLEEM,Alex,,Router,2011-06-06 00:00:00,EC,,,NA,Macro,GF,Shelter,,Co-located,1,Delta 3,Yes,,Power Safe,2021-07-14 00:00:00,,8,32,50,91,180,2024-03-09 00:00:00,Good Batteries,,Not supervised,On Air,True,,True,,,,Mamoura Alex city/Exchange,"31.2898990933171,30.0349621335805",No,Yes,Telecom Egypt,0,No,,"iPASOLINK EX/A, iPASOLINK VR 4, iPASOLINK VR 10, iPASOLINK VR 4, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A",
0011AL,MERCURE,GLEEM,Alex,3,Low cascade,2016-04-10 00:00:00,EC,Rechargeable,,NA,Macro,Flage Pole,Outdoor,,Silver,1,Delta 4,Yes,,Huawei-Lithium,2024-07-28 00:00:00,,2,2,43.9,73.2,121,00:00:00,Good Batteries,,Supervised,On Air,,,,,,,20طريق الجيش فندق سان جيوفاني ستانلي  - سابا باشا,"31.2339447088345,29.947839540318",No,Yes,Hany Abdelwahab,3 monthes,Cage,,iPASOLINK VR 4,
0014AL,RASELTIN,GLEEM,Alex,1,End Point,2015-04-02 00:00:00,EC,,,NA,Macro,GF,Outdoor,,Bronze,1,NSN,NO,,SBS,,,3,12,54.5,NA,0,2024-07-03 00:00:00,Faulty Batteries,,Not supervised,On Air,,,,,,,"Residential area , Ras El Tin  , Alexandria ","31.2004586326218,29.8703368276508",No,Yes,Roaa Sherin ,6 monthes,No,,iPASOLINK 200,
0016AL,SIDIBISHR,GLEEM,Alex,,Low cascade,2001-02-19 00:00:00,EC,,,NA,Macro,GF,Co-Located / Shelter,,Golden,4,Delta 2,NO,,Huawei-Lithium,2024-07-28 00:00:00,,2,2,45.5,NA,121,00:00:00,Good Batteries,,Not supervised,On Air,,,True,,,,Iskander Ibrahim st - Sidi Bishr Exchange- Sidi Beshr Bahary -Alexandria,"31.2687733875818,29.9954691469967",0,Yes,Telecom Egypt,0,0,,"iPASOLINK VR 4, iPASOLINK VR 10, iPASOLINK VR 4, iPASOLINK VR 4, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A, iPASOLINK EX/A",
0017AL,SIDIGABER,GLEEM,Alex,4,Nodal,2001-02-23 00:00:00,EC,,,NA,Macro,GF,Shelter,,Silver,1,Delta 2,Yes,,Huawei-Lithium,2024-07-28 00:00:00,,3,3,43.9,136,121,00:00:00,Good Batteries,,Not supervised,On Air,,,,,,,Sidi Gaber Exchange,"31.2230204858366,29.9400592770681",No,Yes,Telecom Egypt,0,No,,iPASOLINK VR 4,
0018AL,TABIA,GLEEM,Alex,1,End Point,2003-10-12 00:00:00,EC,Rechargeable,,NA,Macro,RT,Outdoor,,Bronze,1,Delta 4,NO,,SBS,,,3,12,44.68,95.6,5,2024-06-25 00:00:00,Faulty Batteries,,Not supervised,On Air,,,,,,,10 El Ikbal Street Loran Alex,"31.2490178202827,29.9759124723854",No,No,NA,NA,No,,iPASOLINK VR 4,
